ID;TITLE;DELIVERLINK;PRICE;PURCHASELINK;ADDITIONAL_DATA
311001;Emulador PS2 + 3 Emuladores da Sony + Nintendo Switch + 11 Emuladores da Nintendo;https://sites.google.com/view/psx-switch-nitendo/in%C3%ADcio;70.0;https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=1250513859-fd30294e-ab40-42e1-aedc-27b69a0cb58b;
310101;Emulador PS2 + 3 Emuladores da Sony + Nintendo Switch + 14 Emuladores Diversos;https://sites.google.com/view/psx-switch-diversos/in%C3%ADcio;65.0;https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=1250513859-861ec074-af1a-49f6-bbf9-d101fe43f105;
310001;Emulador PS2 + 3 Emuladores da Sony + Nintendo Switch;https://sites.google.com/view/psx-switch/in%C3%ADcio;55.0;https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=1250513859-0736d538-ebd6-405c-ac88-3df5bb8be01d;
300001;Emulador PS2 + Nintendo Switch;https://sites.google.com/view/ps2-switch-acesso/in%C3%ADcio;45.0;https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=1250513859-5de2bdbe-ff73-4faa-8670-1efba1db75cd;
310000;Emulador PS2 + 3 Emuladores da Sony;https://sites.google.com/view/psxupsell/in%C3%ADcio;25.0;https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=1250513859-0d769984-e9fd-451a-9056-537201b3d0a2;
300010;Emulador PS2 + Xbox Classico;https://sites.google.com/view/ps2-xboxclassic-acesso/in%C3%ADcio;35.0;https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=1250513859-4c10ec47-95e0-41ba-a842-1fb4fa653d9e;
300011;Emulador PS2 + Xbox Classico + Nintendo Switch;https://sites.google.com/view/ps2-xboxclassic-switch-acesso/in%C3%ADcio;65.0;https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=1250513859-10272f27-9626-4d1d-8772-b97477f8803c;
310010;Emulador PS2 + 3 Emuladores da Sony + Xbox Classico;https://sites.google.com/view/psx-xboxc-acesso/in%C3%ADcio;45.0;https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=1250513859-9a814056-1a4d-41c2-9c04-b9018a93ffd4;
311010;Emulador PS2 + 3 Emuladores da Sony + 11 Emuladores da Nintendo + Xbox Classico;https://sites.google.com/view/ps2-xboxc-switch-acesso/in%C3%ADcio;60.0;https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=1250513859-7506abca-bc93-438c-a07c-d39ad164191d;
311110;Emulador PS2 + 3 Emuladores da Sony + 11 Emuladores da Nintendo + 14 Emuladores Diversos + Xbox Classico;https://sites.google.com/view/ps2-sony-nint-diversos-xbox-ac/in%C3%ADcio;70.0;https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=1250513859-b1459829-c627-4f56-bb75-377a63c4bbbc;
310110;Emulador PS2 + 3 Emuladores da Sony + 14 Emuladores Diversos + Xbox Classico;https://sites.google.com/view/psx-diver-xboxc/in%C3%ADcio;55.0;https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=1250513859-00bcc864-fb52-4a38-9da2-cb9c3584fe62;
301110;Emulador PS2 + 11 Emuladores da Nintendo + 14 Emuladores Diversos + Xbox Classico;https://sites.google.com/view/ps2-nintendo-diversos-xboxc-ac/in%C3%ADcio;60.0;https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=1250513859-1f1d7eaa-0a30-4a39-9cd9-496ac2c42c68;
300110;Emulador PS2 + 14 Emuladores Diversos + Xbox Classico;https://sites.google.com/view/ps2-14-emuladores-xboxc-acesso/in%C3%ADcio;45.0;https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=1250513859-bc10b2f2-19a9-4c7c-92c2-b7497ac6dbb4;
301010;Emulador PS2 + 11 Emuladores da Nintendo + Xbox Classico;https://sites.google.com/view/ps2-nintendo-xboxc-acesso/in%C3%ADcio;50.0;https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=1250513859-96ab0b7f-c934-4dfc-acb4-5c2a70fb03d1;
301011;Emulador PS2 + 11 Emuladores da Nintendo + Xbox Classico + Nintendo Switch;https://sites.google.com/view/ps2-nintendo-xboxc-switch-aces/in%C3%ADcio;80.0;https://www.mercadopago.com.br/checkout/v1/redirect?pref_id=1250513859-40f6757d-61aa-4455-be11-9331b533a84a;
