Magnetic Link para baixar todos de uma vez (Tamanho: 371.49 Gb);magnet:?xt=urn:btih:009a0979afcf4bd3e52abc889d9e7a2652c009c4&dn=1389+sony+playstation+roms&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce
3x3 Eyes - Kyuusei Koushu (Japan) (Disc 1);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/psxj/psxjap/3x3%20Eyes%20-%20Kyuusei%20Koushu%20%28Japan%29%20%28Disc%201%29.7z
3x3 Eyes - Kyuusei Koushu (Japan) (Disc 2);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/psxj/psxjap/3x3%20Eyes%20-%20Kyuusei%20Koushu%20%28Japan%29%20%28Disc%202%29.7z
3x3 Eyes - Tenrinou Genmu (Japan) (Disc 1);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/bks/nr/PSX-Asia-Non-Redump/3x3%20Eyes%20-%20Tenrinou%20Genmu%20%28Japan%29%20%28Disc%201%29%20%5BSLPS-01497%5D.rar
3x3 Eyes - Tenrinou Genmu (Japan) (Disc 2);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/bks/nr/PSX-Asia-Non-Redump/3x3%20Eyes%20-%20Tenrinou%20Genmu%20%28Japan%29%20%28Disc%202%29%20%5BSLPS-01498%5D.rar
3x3 Eyes - Tenrinou Genmu (Japan) (Disc 3);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/bks/nr/PSX-Asia-Non-Redump/3x3%20Eyes%20-%20Tenrinou%20Genmu%20%28Japan%29%20%28Disc%203%29%20%5BSLPS-01499%5D.rar
3Xtreme [U];http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/PSX-Redump/3Xtreme%20%28USA%29.7z
40 Winks [U];http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/PSX-Redump/40%20Winks%20%28USA%29.7z
70's Robot Anime - Geppy-X - The Super Boosted Armor (Japan) (Disc 1);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/bks/nr/PSX-Asia-Non-Redump/70%27s%20Robot%20Anime%20-%20Geppy-X%20-%20The%20Super%20Boosted%20Armor%20%28Japan%29%20%28Disc%201%29%20%5BSLPS-01995%5D.rar
70's Robot Anime - Geppy-X - The Super Boosted Armor (Japan) (Disc 2);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/bks/nr/PSX-Asia-Non-Redump/70%27s%20Robot%20Anime%20-%20Geppy-X%20-%20The%20Super%20Boosted%20Armor%20%28Japan%29%20%28Disc%202%29%20%5BSLPS-01996%5D.rar
70's Robot Anime - Geppy-X - The Super Boosted Armor (Japan) (Disc 3);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/bks/nr/PSX-Asia-Non-Redump/70%27s%20Robot%20Anime%20-%20Geppy-X%20-%20The%20Super%20Boosted%20Armor%20%28Japan%29%20%28Disc%203%29%20%5BSLPS-01997%5D.rar
70's Robot Anime - Geppy-X - The Super Boosted Armor (Japan) (Disc 4);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/bks/nr/PSX-Asia-Non-Redump/70%27s%20Robot%20Anime%20-%20Geppy-X%20-%20The%20Super%20Boosted%20Armor%20%28Japan%29%20%28Disc%204%29%20%5BSLPS-01998%5D.rar
99 Koushien (Japan);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/bks/nr/PSX-Asia-Non-Redump/99%20Koushien%20%28Japan%29%20%5BSLPS-02110%5D.rar
A Ressha de Ikou 4 - Evolution (Japan) (v1.0);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/psxj/psxjap/A%20Ressha%20de%20Ikou%204%20-%20Evolution%20%28Japan%29%20%28v1.0%29.7z
A Ressha de Ikou 4 - Evolution (Japan) (v1.1);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/psxj/psxjap/A%20Ressha%20de%20Ikou%204%20-%20Evolution%20%28Japan%29%20%28v1.1%29.7z
A Ressha de Ikou 4 - Evolution Global (Japan) (v1.0);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/may/PSX-New/A%20Ressha%20de%20Ikou%204%20-%20Evolution%20Global%20%28Japan%29%20%28v1.0%29.rar
A Ressha de Ikou 4 - Evolution Global (Japan) (v1.1);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/psxj/psxjap/A%20Ressha%20de%20Ikou%204%20-%20Evolution%20Global%20%28Japan%29%20%28v1.1%29.7z
A Ressha de Ikou Z Mezase - Tairiku Oudan (Japan);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/bks/nr/PSX-Asia-Non-Redump/A%20Ressha%20de%20Ikou%20Z%20Mezase%20-%20Tairiku%20Oudan%20%28Japan%29%20%5BSLPS-02050%5D.rar
A-Train [U];http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/PSX-Redump/A-Train%20-%20Trains%2C%20Power%2C%20Money%20%28USA%29%20%28En%2CJa%2CFr%2CDe%29.7z
A5 - A Ressha de Ikou 5 (Japan);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/bks/nr/PSX-Asia-Non-Redump/A5%20-%20A%20Ressha%20de%20Ikou%205%20%28Japan%29%20%5BSLPS-91124%5D.rar
Abala Burn (J);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/may/PSX-Asia/Abala%20Burn%20%28J%29%20%5BSLPS-01280%5D.rar
Abe a GoGo (Japan);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/psxj/psxjap/Abe%20a%20GoGo%20%28Japan%29.7z
Ace Combat (J);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/may/PSX-Asia/Ace%20Combat%20%28J%29%20%5BSLPS-00061%5D.rar
Ace Combat 2 (J) (v1.0);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/may/PSX-Asia/Ace%20Combat%202%20%28J%29%20%28v1.0%29%20%5BSLPS-00830%5D.rar
Ace Combat 2 (J) (v1.1);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/may/PSX-Asia/Ace%20Combat%202%20%28J%29%20%28v1.1%29%20%5BSLPS-00830%5D.rar
Ace Combat 2 [E];http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/psx/Ace%20Combat%202%20%5BE%5D%20%5BSCES-00699%5D.rar
Ace Combat 2 [U];http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/PSX-Redump/Ace%20Combat%202%20%28USA%29.7z
Ace Combat 3 - Electrosphere (E);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/may/PSX-PAL/Ace%20Combat%203%20-%20Electrosphere%20%28E%29%20%5BSCES-02066%5D.7z
Ace Combat 3 - Electrosphere (J) (v1.0) (Disc 1);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/may/PSX-Asia/Ace%20Combat%203%20-%20Electrosphere%20%28J%29%20%28v1.0%29%20%28Disc%201%29%20%5BSLPS-02020%5D.rar
Ace Combat 3 - Electrosphere (J) (v1.0) (Disc 2);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/may/PSX-Asia/Ace%20Combat%203%20-%20Electrosphere%20%28J%29%20%28v1.0%29%20%28Disc%202%29%20%5BSLPS-02021%5D.rar
Ace Combat 3 - Electrosphere (J) (v1.1) (Disc 1);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/may/PSX-Asia/Ace%20Combat%203%20-%20Electrosphere%20%28J%29%20%28v1.1%29%20%28Disc%201%29%20%5BSLPS-02020%5D.rar
Ace Combat 3 - Electrosphere (J) (v1.1) (Disc 2);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/may/PSX-Asia/Ace%20Combat%203%20-%20Electrosphere%20%28J%29%20%28v1.1%29%20%28Disc%202%29%20%5BSLPS-02021%5D.rar
Ace Combat 3 - Electrosphere [U];http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/PSX-Redump/Ace%20Combat%203%20-%20Electrosphere%20%28USA%29.7z
Aces of the Air [U];http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/PSX-Redump/Aces%20of%20the%20Air%20%28USA%29.7z
Acid (Japan) (SLPS-02119);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/bks/nr/PSX-Asia-Non-Redump/Acid%20%28Japan%29%20%28SLPS-02119%29.rar
Aconcagua (Japan) (Disc 1);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/bks/nr/PSX-Asia-Non-Redump/Aconcagua%20%28Japan%29%20%28Disc%201%29%20%5BSCPS-10131%5D.rar
Aconcagua (Japan) (Disc 2);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/bks/nr/PSX-Asia-Non-Redump/Aconcagua%20%28Japan%29%20%28Disc%202%29%20%5BSCPS-10132%5D.rar
Action Bass (E);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/may/PSX-PAL/Action%20Bass%20%28E%29%20%5BSLES-03105%5D.7z
